name,degreein,date
159,297,2020-04-26
94,291,2020-04-26
154,265,2020-04-26
41,234,2020-04-26
1,204,2020-04-26
270,200,2020-04-26
278,200,2020-04-26
69,188,2020-04-26
233,176,2020-04-26
188,160,2020-04-26
9,148,2020-04-26
142,135,2020-04-26
262,133,2020-04-26
108,129,2020-04-26
151,118,2020-04-26
229,104,2020-04-26
149,93,2020-04-26
153,89,2020-04-26
31,88,2020-04-26
242,80,2020-04-26
235,80,2020-04-26
161,14,2020-04-26
86,599,2020-05-03
181,554,2020-05-03
34,525,2020-05-03
41,435,2020-05-03
270,371,2020-05-03
94,351,2020-05-03
159,348,2020-05-03
278,337,2020-05-03
69,321,2020-05-03
207,292,2020-05-03
1,287,2020-05-03
9,286,2020-05-03
188,278,2020-05-03
233,257,2020-05-03
108,247,2020-05-03
154,246,2020-05-03
31,228,2020-05-03
89,227,2020-05-03
262,216,2020-05-03
70,210,2020-05-03
151,205,2020-05-03
242,182,2020-05-03
235,177,2020-05-03
229,172,2020-05-03
149,160,2020-05-03
153,129,2020-05-03
142,75,2020-05-03
161,5,2020-05-03
86,476,2020-05-10
181,453,2020-05-10
41,410,2020-05-10
34,351,2020-05-10
94,276,2020-05-10
1,250,2020-05-10
278,242,2020-05-10
270,238,2020-05-10
69,237,2020-05-10
108,224,2020-05-10
207,221,2020-05-10
159,217,2020-05-10
233,216,2020-05-10
89,198,2020-05-10
154,178,2020-05-10
70,174,2020-05-10
9,172,2020-05-10
188,163,2020-05-10
151,156,2020-05-10
235,148,2020-05-10
31,135,2020-05-10
242,133,2020-05-10
229,132,2020-05-10
262,126,2020-05-10
153,123,2020-05-10
149,123,2020-05-10
142,53,2020-05-10
161,40,2020-05-10
181,529,2020-05-17
86,496,2020-05-17
34,383,2020-05-17
94,378,2020-05-17
108,299,2020-05-17
207,274,2020-05-17
159,269,2020-05-17
41,239,2020-05-17
89,234,2020-05-17
154,203,2020-05-17
70,179,2020-05-17
1,162,2020-05-17
9,159,2020-05-17
278,154,2020-05-17
270,135,2020-05-17
69,135,2020-05-17
262,118,2020-05-17
151,116,2020-05-17
188,115,2020-05-17
233,114,2020-05-17
31,102,2020-05-17
229,99,2020-05-17
149,97,2020-05-17
235,86,2020-05-17
153,85,2020-05-17
242,71,2020-05-17
142,45,2020-05-17
161,0,2020-05-17
181,890,2020-05-24
86,852,2020-05-24
34,612,2020-05-24
94,530,2020-05-24
41,474,2020-05-24
207,462,2020-05-24
159,457,2020-05-24
69,407,2020-05-24
89,348,2020-05-24
154,347,2020-05-24
108,307,2020-05-24
70,282,2020-05-24
233,247,2020-05-24
278,239,2020-05-24
1,233,2020-05-24
188,229,2020-05-24
270,216,2020-05-24
149,198,2020-05-24
9,193,2020-05-24
262,155,2020-05-24
153,145,2020-05-24
229,144,2020-05-24
31,137,2020-05-24
151,136,2020-05-24
235,135,2020-05-24
242,111,2020-05-24
142,43,2020-05-24
161,1,2020-05-24
181,289,2020-05-31
159,288,2020-05-31
86,273,2020-05-31
34,253,2020-05-31
94,241,2020-05-31
207,237,2020-05-31
154,215,2020-05-31
233,196,2020-05-31
89,193,2020-05-31
41,179,2020-05-31
70,164,2020-05-31
151,148,2020-05-31
188,142,2020-05-31
229,132,2020-05-31
9,124,2020-05-31
108,123,2020-05-31
242,113,2020-05-31
270,98,2020-05-31
69,96,2020-05-31
262,86,2020-05-31
278,86,2020-05-31
235,80,2020-05-31
31,76,2020-05-31
1,75,2020-05-31
153,63,2020-05-31
149,60,2020-05-31
142,34,2020-05-31
161,2,2020-05-31
94,915,2020-06-07
159,843,2020-06-07
181,822,2020-06-07
86,793,2020-06-07
207,764,2020-06-07
34,683,2020-06-07
89,674,2020-06-07
188,629,2020-06-07
108,498,2020-06-07
154,497,2020-06-07
70,496,2020-06-07
41,474,2020-06-07
233,394,2020-06-07
1,370,2020-06-07
278,357,2020-06-07
9,352,2020-06-07
262,350,2020-06-07
69,349,2020-06-07
270,338,2020-06-07
153,332,2020-06-07
31,324,2020-06-07
151,321,2020-06-07
229,309,2020-06-07
235,295,2020-06-07
242,288,2020-06-07
149,282,2020-06-07
142,155,2020-06-07
161,7,2020-06-07
41,161,2020-06-14
69,145,2020-06-14
233,84,2020-06-14
159,79,2020-06-14
94,75,2020-06-14
34,68,2020-06-14
86,66,2020-06-14
181,66,2020-06-14
278,66,2020-06-14
207,60,2020-06-14
154,59,2020-06-14
89,57,2020-06-14
70,51,2020-06-14
142,51,2020-06-14
9,37,2020-06-14
262,36,2020-06-14
1,31,2020-06-14
31,27,2020-06-14
188,26,2020-06-14
270,26,2020-06-14
108,25,2020-06-14
149,20,2020-06-14
151,20,2020-06-14
229,15,2020-06-14
242,15,2020-06-14
235,15,2020-06-14
153,12,2020-06-14
161,6,2020-06-14
181,153,2020-06-21
86,140,2020-06-21
34,131,2020-06-21
94,128,2020-06-21
108,128,2020-06-21
41,88,2020-06-21
278,86,2020-06-21
154,78,2020-06-21
159,73,2020-06-21
69,73,2020-06-21
89,72,2020-06-21
142,71,2020-06-21
207,61,2020-06-21
9,61,2020-06-21
233,58,2020-06-21
70,58,2020-06-21
1,46,2020-06-21
