pair_key,friendship,friendship_strength,lost_con,lockdown
1 21,36.239999999999995,19.923333333333332,FALSE,FALSE
1 21,150.12,57.37,FALSE,FALSE
1 21,176,101.34,FALSE,FALSE
1 21,99.6,115.49,FALSE,FALSE
1 21,292,179.43,FALSE,FALSE
1 21,150.45333333333332,179.51333333333332,FALSE,FALSE
1 21,260.33333333333337,200.59666666666666,FALSE,FALSE
1 21,485,296.94666666666666,FALSE,FALSE
1 21,291.90666666666664,296.9233333333333,FALSE,FALSE
1 21,180.48000000000002,304.43,FALSE,FALSE
1 21,1.08,239.61666666666665,TRUE,FALSE
1 21,804.36,319.45666666666665,FALSE,FALSE
1 21,433.12,354.76,FALSE,FALSE
1 21,277.08000000000004,378.90999999999997,FALSE,FALSE
1 21,92.5,401.765,TRUE,FALSE
1 21,258.12,265.205,FALSE,FALSE
1 21,243,217.67499999999998,FALSE,FALSE
1 21,202,198.90499999999997,FALSE,FALSE
1 21,38.5,185.40499999999997,TRUE,FALSE
1 21,162,161.37499999999997,FALSE,FALSE
1 21,121,130.87499999999997,FALSE,TRUE
1 21,47,92.12499999999999,FALSE,TRUE
1 21,43,93.24999999999999,TRUE,TRUE
1 21,47.36,64.589999999999975,FALSE,TRUE
1 21,35.239999999999995,43.14999999999998,FALSE,TRUE
1 21,70,48.89999999999998,FALSE,TRUE
1 21,63.12,53.92999999999998,FALSE,TRUE
1 21,107,68.839999999999975,FALSE,TRUE
1 21,126,91.52999999999999,FALSE,TRUE
1 21,281,144.27999999999997,FALSE,TRUE
1 21,58,142.99999999999997,TRUE,TRUE
1 21,303.12,192.02999999999997,FALSE,TRUE
1 21,19,165.27999999999997,TRUE,FALSE
1 21,171,137.77999999999997,FALSE,FALSE
1 21,4,124.27999999999999,TRUE,FALSE
1 21,3,49.249999999999986,TRUE,FALSE
1 21,316,123.49999999999999,FALSE,TRUE
1 21,0.32,80.82999999999998,TRUE,TRUE
1 21,185,126.07999999999998,FALSE,TRUE
1 21,0.08,125.34999999999998,TRUE,TRUE
1 21,0.08,46.369999999999976,TRUE,TRUE
1 21,0.24,46.34999999999998,TRUE,TRUE
1 22,0.72,NA,NA,FALSE
1 22,0.12,NA,NA,FALSE
1 22,0.24,NA,NA,FALSE
1 22,0.6,0.42,FALSE,FALSE
1 22,0.6,0.39,FALSE,FALSE
1 22,0.6,0.51,FALSE,FALSE
1 22,0.6,0.6,FALSE,FALSE
1 22,0.24,0.51,TRUE,FALSE
1 22,0.48,0.48,FALSE,FALSE
