join_id,id,pagerank,week,num_msgs,vacation,lockdown,num_friends,new_cons,trans
293_2019-11-24,293,0.03682308949464254,2019-11-24T00:00:00Z,76,FALSE,FALSE,2,0,0.878157124044255
296_2019-11-24,296,0.028758231755802523,2019-11-24T00:00:00Z,82,FALSE,FALSE,4,4,0.3893012263668867
305_2019-11-24,305,0.030031090815616272,2019-11-24T00:00:00Z,86,FALSE,FALSE,3,3,0.8116629793772632
309_2019-11-24,309,0.03706265355690764,2019-11-24T00:00:00Z,34,FALSE,FALSE,4,1,1.1567959448308371
38_2019-11-24,38,0.03130769588007013,2019-11-24T00:00:00Z,41.12,FALSE,FALSE,8,2,0.5756099917084475
4_2019-11-24,4,0.04699110940694876,2019-11-24T00:00:00Z,83,FALSE,FALSE,6,2,0.6302399151236374
5_2019-11-24,5,0.029531380612489187,2019-11-24T00:00:00Z,121,FALSE,FALSE,6,2,0.8879078806498144
55_2019-11-24,55,0.04108515358534254,2019-11-24T00:00:00Z,44,FALSE,FALSE,4,15,0.7576541487933811
63_2019-11-24,63,0.03848450171538119,2019-11-24T00:00:00Z,15,FALSE,FALSE,4,0,0.7095022343594914
83_2019-11-24,83,0.029586854569800695,2019-11-24T00:00:00Z,60,FALSE,FALSE,5,3,0.7392975810738943
123_2019-12-01,123,0.03145919327951638,2019-12-01T00:00:00Z,389,FALSE,FALSE,5,1,0.41815751817713015
14_2019-12-01,14,0.0310440881277427,2019-12-01T00:00:00Z,25,FALSE,FALSE,2,2,1.122196541688064
155_2019-12-01,155,0.03427954008398348,2019-12-01T00:00:00Z,32,FALSE,FALSE,6,0,1.1645526517408669
158_2019-12-01,158,0.031097642987458665,2019-12-01T00:00:00Z,74,FALSE,FALSE,5,2,0.5468841001747209
164_2019-12-01,164,0.05353965046186035,2019-12-01T00:00:00Z,20,FALSE,FALSE,3,1,0.68038183015141
177_2019-12-01,177,0.034741941499125545,2019-12-01T00:00:00Z,70,FALSE,FALSE,6,3,0.7715599946067567
187_2019-12-01,187,0.0563012000906197,2019-12-01T00:00:00Z,44,FALSE,FALSE,6,1,0.5026457294264328
190_2019-12-01,190,0.04783588672488347,2019-12-01T00:00:00Z,70,FALSE,FALSE,4,1,0.8000198442228483
194_2019-12-01,194,0.030598767240130005,2019-12-01T00:00:00Z,3,FALSE,FALSE,2,1,1.043430253956571
22_2019-12-01,22,0.03266708116327665,2019-12-01T00:00:00Z,24,FALSE,FALSE,4,2,0.7734417344173439
235_2019-12-01,235,0.03206834898207799,2019-12-01T00:00:00Z,170,FALSE,FALSE,5,0,0.6517669143361914
244_2019-12-01,244,0.035936701230377184,2019-12-01T00:00:00Z,56,FALSE,FALSE,3,1,0.6903003106662038
259_2019-12-01,259,0.050386659210068054,2019-12-01T00:00:00Z,71,FALSE,FALSE,2,2,0.38275842558889056
260_2019-12-01,260,0.04334989035830776,2019-12-01T00:00:00Z,220,FALSE,FALSE,5,4,0.5971444568868979
270_2019-12-01,270,0.021720448777692566,2019-12-01T00:00:00Z,0,FALSE,FALSE,0,0,1.6562499999999993
29_2019-12-01,29,0.03667577987585421,2019-12-01T00:00:00Z,73,FALSE,FALSE,4,3,0.5663496023701798
292_2019-12-01,292,0.025964724705371176,2019-12-01T00:00:00Z,18,FALSE,FALSE,3,0,0.8378188757612346
